transaction_date,transaction_id,product_name,category,quantity,unit_price,amount
2024-01-02,T001,Rice (50kg),Grains,150,45000,6750000
2024-01-02,T002,Beans (100kg),Grains,80,65000,5200000
2024-01-02,T003,Indomie Carton,Noodles,200,4500,900000
2024-01-03,T004,Peak Milk Carton,Dairy,120,15000,1800000
2024-01-03,T005,Golden Penny Flour,Baking,180,28000,5040000
2024-01-04,T006,Groundnut Oil (25L),Cooking Oil,90,35000,3150000
2024-01-04,T007,Palm Oil (25L),Cooking Oil,75,32000,2400000
2024-01-05,T008,Semovita (10kg),Grains,250,12000,3000000
2024-01-05,T009,Sugar (50kg),Baking,100,52000,5200000
2024-01-06,T010,Tomato Paste Carton,Canned Goods,150,18000,2700000
2024-02-01,T011,Chicken (Frozen),Frozen Foods,200,25000,5000000
2024-02-02,T012,Fish (Frozen),Frozen Foods,180,28000,5040000
2024-02-03,T013,Eggs (Crate),Dairy,300,2500,750000
2024-02-04,T014,Bread,Bakery,500,1200,600000
2024-02-05,T015,Soft Drinks Carton,Beverages,250,4800,1200000
2024-03-01,T016,Detergent Carton,Household,180,15000,2700000
2024-03-02,T017,Toilet Paper Pack,Household,300,6000,1800000
2024-03-03,T018,Soap Carton,Household,200,12000,2400000
2024-03-04,T019,Toothpaste Pack,Personal Care,150,8500,1275000
2024-03-05,T020,Shampoo Pack,Personal Care,120,9500,1140000
2024-04-01,T021,Rice (50kg),Grains,200,48000,9600000
2024-04-02,T022,Beans (100kg),Grains,100,68000,6800000
2024-04-03,T023,Groundnut Oil (25L),Cooking Oil,150,37000,5550000
2024-05-01,T024,Peak Milk Carton,Dairy,180,16000,2880000
2024-05-02,T025,Golden Penny Flour,Baking,220,29000,6380000
2024-05-03,T026,Indomie Carton,Noodles,300,4800,1440000
2024-06-01,T027,Chicken (Frozen),Frozen Foods,250,26000,6500000
2024-06-02,T028,Fish (Frozen),Frozen Foods,200,29000,5800000
2024-06-03,T029,Semovita (10kg),Grains,280,13000,3640000
2024-07-01,T030,Sugar (50kg),Baking,150,54000,8100000
2024-07-02,T031,Tomato Paste Carton,Canned Goods,200,19000,3800000
2024-07-03,T032,Soft Drinks Carton,Beverages,350,5000,1750000
2024-08-01,T033,Rice (50kg),Grains,300,50000,15000000
2024-08-02,T034,Beans (100kg),Grains,180,70000,12600000
2024-08-03,T035,Palm Oil (25L),Cooking Oil,160,34000,5440000
2024-09-01,T036,Detergent Carton,Household,250,16000,4000000
2024-09-02,T037,Toilet Paper Pack,Household,400,6500,2600000
2024-09-03,T038,Bread,Bakery,600,1300,780000
2024-10-01,T039,Peak Milk Carton,Dairy,220,17000,3740000
2024-10-02,T040,Indomie Carton,Noodles,400,5000,2000000
2024-10-03,T041,Chicken (Frozen),Frozen Foods,280,27000,7560000
2024-11-01,T042,Fish (Frozen),Frozen Foods,250,30000,7500000
2024-11-02,T043,Eggs (Crate),Dairy,450,2800,1260000
2024-11-03,T044,Golden Penny Flour,Baking,300,30000,9000000
2024-12-01,T045,Rice (50kg),Grains,400,52000,20800000
2024-12-02,T046,Beans (100kg),Grains,250,72000,18000000
2024-12-03,T047,Groundnut Oil (25L),Cooking Oil,200,38000,7600000
2024-12-04,T048,Palm Oil (25L),Cooking Oil,180,35000,6300000
2024-12-05,T049,Sugar (50kg),Baking,220,56000,12320000
2024-12-06,T050,Tomato Paste Carton,Canned Goods,300,20000,6000000 